cites,name,title,year
40,Keith Ross,Measuring network performance for cloud services,2011.0
40,Keith Ross,Evaluating the Streaming of FGS–Encoded Video with Rate–Distortion Traces Institut Eurщcom Technical Report RR–03–078 June 2003,2003.0
39,Keith Ross,Caching video objects: layers vs versions?,2002.0
39,Keith Ross,Implementation of adaptive streaming of stored MPEG-4 FGS video over TCP,2002.0
38,Keith Ross,I know what you’re buying: Privacy breaches on ebay,2014.0
38,Keith Ross,Optimal streaming of layered video: joint scheduling and error concealment,2003.0
38,Keith Ross,Variability sensitive Markov decision processes,1992.0
37,Keith Ross,Topology mapping and geolocating for China's Internet,2012.0
36,Keith Ross,A measurement study of attacks on bittorrent seeds,2011.0
36,Keith Ross,Secure and resilient peer-to-peer e-mail design and implementation,2003.0
36,Keith Ross,Uniformization for semi-Markov decision processes under stationary policies,1987.0
35,Keith Ross,China's internet: Topology mapping and geolocating,2012.0
34,Keith Ross,Xunlei: Peer-assisted download acceleration on a massive scale,2012.0
34,Keith Ross,Striping for interactive video: Is it worth it?,1999.0
33,Keith Ross,Unified framework for optimal video streaming,2004.0
33,Keith Ross,Fast algorithms for generating discrete random variates with changing distributions,1993.0
33,Keith Ross,Monte Carlo summation applied to product-form loss networks,1992.0
31,Keith Ross,System and Method for Service Discovery in a Computer Network Using Dynamic Proxy and Data Dissemination,2009.0
31,Keith Ross,Redes de computadores e a Internet. 3ª edição,2006.0
31,Keith Ross,Constrained Markov Decision Processes with Queueing Applications.,1985.0
30,Keith Ross,Smoke screener or straight shooter: Detecting elite sybil attacks in user-review social networks,2017.0
29,Keith Ross,Computer Networking: A top-down approach,2010.0
29,Keith Ross,Qualitative properties of the Erlang blocking model with heterogeneous user requirements,1990.0
28,Keith Ross,Minimizing network latency in interactive internet applications,2015.0
28,Keith Ross,Cache array routing protocol,1998.0
27,Keith Ross,Profiling high-school students with facebook: how online privacy laws can actually increase minors' risk,2013.0
26,Keith Ross,Computer Networking,1991.0
25,Keith Ross,The right to be forgotten in the media: A data-driven study,2016.0
25,Keith Ross,Measurement and mitigation of BitTorrent leecher attacks,2009.0
24,Keith Ross,Efficient cache availability management in information-centric networks,2015.0
24,Keith Ross,Video pollution on the web,2010.0
24,Keith Ross,Dynamic programming methodology for managing prerecorded VBR sources in packet-switched networks,1997.0
23,Keith Ross,I know where you are: thwarting privacy protection in location-based social discovery services,2015.0
23,Keith Ross,Peer-driven video streaming: Multiple descriptions versus layering,2005.0
22,Keith Ross,"Computer Networking: A Top-Down Approach, Global Edition",2017.0
22,Keith Ross,Reti di calcolatori e Internet. Un approccio top-down,2008.0
22,Keith Ross,Computer networking,2004.0
21,Keith Ross,Stalking beijing from timbuktu: a generic measurement approach for exploiting location-based social discovery,2014.0
21,Keith Ross,Pollution in P2P live video streaming,2009.0
21,Keith Ross,Continuous media e-mail on the internet: Infrastructure inadequacies and a sender-side solution,2000.0
21,Keith Ross,Potential trace metal contamination of water resources through the disposal of fly ash,1976.0
20,Keith Ross,Inflight modifications of content: who are the culprits?,2011.0
20,Keith Ross,Stochastic fluid models for cache clusters,2005.0
20,Keith Ross,Asynchronous voice: A personal account,2003.0
19,Keith Ross,Mechanism design for dynamic P2P streaming,2013.0
19,Keith Ross,A DNS Reflection Method for Global Traffic Management.,2010.0
19,Keith Ross,A decentralized prefetching protocol for VBR video on demand,1998.0
19,Keith Ross,Optimal multiplexing of heterogeneous traffic with hard constraint,1986.0
18,Keith Ross,You can yak but you can't hide: Localizing anonymous social network users,2016.0
18,Keith Ross,The city privacy attack: Combining social media and public records for detailed profiles of adults and children,2015.0
18,Keith Ross,Peer-to-peer voice over internet protocol,2012.0
18,Keith Ross,Redesigning multi-channel P2P live video systems with View-Upload Decoupling,2010.0
18,Keith Ross,Topology optimization in multi-tree based P2P streaming system,2009.0
18,Keith Ross,Using layered multi-stream video coding to provide incentives in p2p live streaming,2009.0
18,Keith Ross,On the design of prefetching strategies in a peer-driven video on-demand system,2006.0
18,Keith Ross,Remote control connecting device for lifting device,2004.0
18,Keith Ross,Streaming stored continuous media over fair-share bandwidth,2000.0
17,Keith Ross,Redes de Computadores e a Internet: uma nova abordagem,2005.0
17,Keith Ross,The lightweight currency protocol,2003.0
17,Keith Ross,Analyse structurée des réseaux,2003.0
17,Keith Ross,Distributing frequently-changing documents in the web: Multicasting or hierarchical caching,1998.0
17,Keith Ross,Asymptotically optimal importance sampling for product-form queuing networks,1993.0
16,Keith Ross,Characterizing user behaviors in location-based find-and-flirt services: Anonymity and demographics,2017.0
16,Keith Ross,A comprehensive architecture for continuous media email,2001.0
16,Keith Ross,Optimal streaming of layer-encoded multimedia presentations,2000.0
15,Keith Ross,Redes de Computadores e a Internet,2010.0
15,Keith Ross,Reti di calcolatori e Internet,2005.0
15,Keith Ross,Data indexing and querying in DHT peer-to-peer networks,2004.0
14,Keith Ross,Computer networks and the internet,2013.0
14,Keith Ross,Efficient substream encoding and transmission for P2P video on demand,2007.0
14,Keith Ross,Data indexing in peer-to-peer DHT networks,2004.0
14,Keith Ross,Hierarchical P2P Systems,2003.0
14,Keith Ross,"Computer Networking: A Top Down Approach, 2012",
13,Keith Ross,Attacks and defenses in location-based social networks: a heuristic number theory approach,2015.0
13,Keith Ross,Profiting from filesharing: A measurement study of economic incentives in cyberlockers,2012.0
13,Keith Ross,Sieci komputerowe,2010.0
13,Keith Ross,"’Δικτύωση Υπολογιστών, Προσέγγιση από πάνω προς τα κάτω",2008.0
13,Keith Ross,Advances in peer-to-peer streaming systems [guest editorial],2007.0
13,Keith Ross,Performance modeling and optimization of networks of bridged LANs,1991.0
12,Keith Ross,Supervised policy update for deep reinforcement learning,2018.0
12,Keith Ross,Implementation of Monte Carlo integration for the analysis of product-form queueing networks,1997.0
11,Keith Ross,User anonymity on twitter,2017.0
11,Keith Ross,You can yak but you can't hide,2015.0
11,Keith Ross,Estimating heights from photo collections: A data-driven approach,2014.0
11,Keith Ross,View-upload decoupled peer-to-peer video distribution systems and methods,2011.0
11,Keith Ross,Performance modeling and optimization of interconnected Ethernets,1991.0
10,Keith Ross,Mining anonymity: identifying sensitive accounts on Twitter,2017.0
10,Keith Ross,Thwarting location privacy protection in location‐based social discovery services,2016.0
10,Keith Ross,"Providing a fast, remote security service using hashlists of approved web objects",2016.0
10,Keith Ross,Peer-assisted distribution of user generated content,2012.0
10,Keith Ross,Pangolin: speeding up concurrent messaging for cloud-based social gaming,2011.0
10,Keith Ross,Characterizing video responses in social networks,2008.0
10,Keith Ross,Automated Delivery of Web Documents Through a Caching Infrastructure.,2003.0
10,Keith Ross,Three-year growth and stability of Honduran provenances and families of Pinus tecunumanii,1994.0
10,Keith Ross,"Performance of Pinus caribaea var. hondurensis in Brazil, Colombia and Venezuela.",1993.0
10,Keith Ross,Solving product form stochastic networks with Monte Carlo summation,1990.0
10,Keith Ross,A study of the response of composite concrete deck-steel box girder bridges,1986.0
9,Keith Ross,Počítačové sítě,2014.0
9,Keith Ross,"Comparing the streaming of FGS encoded video at different aggregation levels: frame, GoP, and scene",2005.0
8,Keith Ross,Substream trading in a peer to peer live streaming system,2010.0
8,Keith Ross,Discovery of in-band streaming services in peer-to-peer overlays,2007.0
8,Keith Ross,Topology-centric look-up service,2003.0
8,Keith Ross,A decomposition approximation method for multiclass BCMP queueing networks with multiple-server stations,1994.0
8,Keith Ross,Asymptotic analysis for closed multiclass queueing networks in critical usage,1994.0
7,Keith Ross,Determination of unauthorized content sources,2014.0
7,Keith Ross,Acute Coronary Syndrome,2013.0
7,Keith Ross,Multimedia networking,2013.0
7,Keith Ross,Sequence of linear programming for transmission of fine-scalable coded content in bandwidth-limited environments,2006.0
7,Keith Ross,P2P overlay design overview,2005.0
7,Keith Ross,Optimal dynamic routing in Markov queueing networks,1986.0
6,Keith Ross,Efficient entropy for policy gradient with multidimensional action space,2018.0
6,Keith Ross,T t L Transport Layer,2012.0
6,Keith Ross,Δικτύωση υπολογιστών,2003.0
5,Keith Ross,K-beam minimax: Efficient optimization for deep adversarial learning,2018.0
5,Keith Ross,"Feedback assisted transmission of multiple description, forward error correction coded, streams in a peer-to-peer video system",2012.0
5,Keith Ross,Is BitTorrent Unstoppable?,2008.0
5,Keith Ross,Peer-to-peer applications,2007.0
5,Keith Ross,Sieci komputerowe: od ogółu do szczegółu z internetem w tle,2006.0
5,Keith Ross,Hierarchical peer-to-peer systems,2003.0
5,Keith Ross,Asynchronous audio conferencing on the Web,1999.0
5,Keith Ross,Performance modeling of heterogeneous data networks,1992.0
5,Keith Ross,Stochastic modeling of telecommunication systems,1992.0
4,Keith Ross,Boosting Soft Actor-Critic: Emphasizing Recent Experience without Forgetting the Past,2019.0
4,Keith Ross,Capacity analysis of peer-to-peer adaptive streaming,2013.0
4,Keith Ross,Network Layer,2012.0
4,Keith Ross,Measurement Study of Xunlei: Extended Version,2011.0
4,Keith Ross,Principles of reliable data transfer,2008.0
4,Keith Ross,Exploiting the synergetic relationship between automobiles and wireless communications,2007.0
4,Keith Ross,Wireless and mobile networks,2007.0
4,Keith Ross,Computer Networking Complete Package with study companion,2006.0
4,Keith Ross,Periodic broadcasting with VBR-encoded video,2004.0
4,Keith Ross,P2P Systems,2004.0
4,Keith Ross,Conserving energy in dense sensor networks via distributed scheduling,2003.0
4,Keith Ross,Broadcasting and streaming stored video,2000.0
4,Keith Ross,Application layer,1996.0
4,Keith Ross,Optimal priority assignment with constraint,1984.0
3,Keith Ross,Computer Networks Title: Computer Networking: A Top--Down Approach,2018.0
3,Keith Ross,Finding sensitive accounts on Twitter: an automated approach based on follower anonymity,2016.0
3,Keith Ross,Profiting from piracy: A preliminary analysis of the economics of the cyberlocker ecosystem,2012.0
3,Keith Ross,System and Method for Component Trust Model in Peer-to-Peer Service Composition,2011.0
3,Keith Ross,Optimizing file availability in P2P content distribution,2007.0
3,Keith Ross,Umrežavanje računara: od vrha ka dnu sa Internetom u fokusu,2005.0
3,Keith Ross,"Structured Peer-to-Peer Networks: Faster, Closer, Smarter.",2005.0
3,Keith Ross,A secure lightweight currency service provider,2004.0
3,Keith Ross,Adaptive streaming of layer-encoded multimedia presentations,2003.0
3,Keith Ross,Optimal streaming of synchronized multimedia presentations,1999.0
3,Keith Ross,Analytic Models for Separable Statistical Multiplexing,1996.0
3,Keith Ross,Performance of FDDI under overload,1992.0
3,Keith Ross,Monte Carlo summation applied to multichain queueing networks,1991.0
2,Keith Ross,On the Convergence of the Monte Carlo Exploring Starts Algorithm for Reinforcement Learning,2020.0
2,Keith Ross,Bail: Best-action imitation learning for batch deep reinforcement learning,2020.0
2,Keith Ross,Sensing the Chinese Diaspora: How Mobile Apps Can Provide Insights into Global Migration Flows,2019.0
2,Keith Ross,Towards Simplicity in Deep Reinforcement Learning: Streamlined Off-Policy Learning,2019.0
2,Keith Ross,Thwarting privacy protection on location-based social discovery services,2015.0
2,Keith Ross,I know where you are and what you are sharing,2011.0
2,Keith Ross,Grand Rounds,2011.0
2,Keith Ross,On the privacy of peer-assisted distribution of security patches,2010.0
2,Keith Ross,Sieci komputerowe: ujęcie całościowe,2010.0
2,Keith Ross,Measuring and Optimizing TCP Splitting for Cloud Services,2010.0
2,Keith Ross,Adaptive replication and replacement in P2P caching,2001.0
2,Keith Ross,Efficient simulation of large-scale loss networks,1991.0
2,Keith Ross,Percentile objective criteria in limiting average markov control problems,1989.0
1,Keith Ross,First Order Optimization in Policy Space for Constrained Deep Reinforcement Learning,2020.0
1,Keith Ross,Striving for Simplicity and Performance in Off-Policy DRL: Output Normalization and Non-Uniform Sampling,2019.0
1,Keith Ross,Taking the Pulse of US College Campuses with Location-Based Anonymous Mobile Apps,2017.0
1,Keith Ross,Periodicity based gateway discovery algorithm in hybrid multihop network,2016.0
1,Keith Ross,Supplementary file of the TPDS manuscript,2016.0
1,Keith Ross,"“Computer Networking: A Top-Down Approach Featuring the Internet”, Addision wesley, 2004.",2015.0
1,Keith Ross,Representation and Analysis of Video Content for Automatic Object Extraction,2008.0
1,Keith Ross,"Computer Networking: A Top-down Approach AND Sams Teach Yourself PHP, MySQL and Apache All in One",2007.0
1,Keith Ross,Study Companion: Computer Networking: a Top-down Approach Featuring the Internet,2007.0
1,Keith Ross,Principles of space-time coding,2005.0
1,Keith Ross,Peer-to-peer email,2002.0
1,Keith Ross,Loss models for broadband networks with non-linear constraint functions,1999.0
1,Keith Ross,Prefetching protocols for VBR video on demand,1997.0
1,Keith Ross,Admission Control,1995.0
1,Keith Ross,Optimal design of a fiber optic network with a profit orientation,1988.0
1,Keith Ross,Replicating the DNS using Satellite Broadcast,
1524,Foster Provost,Glossary of terms,1998.0
1501,Foster Provost,Robust classification for imprecise environments,2001.0
1489,Foster Provost,The Case Against Accuracy Estimation for Comparing Induction Algorithms,1998.0
1489,Foster Provost,The Case Against Accuracy Estimation for Comparing Induction Algorithms,1998.0
1489,Foster Provost,The Case Against Accuracy Estimation for Comparing Induction Algorithms,1998.0
1192,Foster Provost,Adaptive fraud detection,1997.0
1117,Foster Provost,"Get another label? improving data quality and data mining using multiple, noisy labelers",2008.0
1075,Foster Provost,Quality management on amazon mechanical turk,2010.0
1059,Foster Provost,Data science and its relationship to big data and data-driven decision making,2013.0
1041,Foster Provost,Analysis and visualization of classifier performance: comparison under imprecise class and cost distributions,1997.0
1041,Foster Provost,Analysis and visualization of classifier performance: comparison under imprecise class and cost distributions,1997.0
1041,Foster Provost,Analysis and visualization of classifier performance: comparison under imprecise class and cost distributions.,1997.0
1041,Foster Provost,Analysis and Visualization of Classi er Performance: Comparison under Imprecise Class and Cost Distributions,1997.0
1013,Foster Provost,Learning when training data are costly: The effect of class distribution on tree induction,2003.0
913,Foster Provost,Data Science for Business: What you need to know about data mining and data-analytic thinking,2013.0
707,Foster Provost,Network-based marketing: Identifying likely adopters via consumer networks,2006.0
652,Foster Provost,Classification in networked data: A toolkit and a univariate case study,2007.0
600,Foster Provost,Tree induction for probability-based ranking,2003.0
532,Foster Provost,Activity monitoring: Noticing interesting changes in behavior,1999.0
518,Foster Provost,Machine learning from imbalanced data sets 101,2000.0
500,Foster Provost,The effect of class distribution on classifier learning: an empirical study,2001.0
432,Foster Provost,Efficient progressive sampling,1999.0
426,Foster Provost,Tree induction vs. logistic regression: A learning-curve analysis,2003.0
392,Foster Provost,A survey of methods for scaling up inductive algorithms,1999.0
369,Foster Provost,Handling missing values when applying classification models,2007.0
342,Foster Provost,A simple relational classifier,2003.0
310,Foster Provost,Combining Data Mining and Machine Learning for Effective User Profiling.,1996.0
306,Foster Provost,Guest editors' introduction: On applied research in machine learning,1998.0
274,Foster Provost,Toward intelligent assistance for a data mining process: An ontology-based approach for cost-sensitive classification,2005.0
237,Foster Provost,Active sampling for class probability estimation and ranking,2004.0
219,Foster Provost,Applications of data mining to electronic commerce,2001.0
204,Foster Provost,"Privacy-sensitive methods, systems, and media for targeting online advertisements using brand affinity modeling",2010.0
178,Foster Provost,Well-trained PETs: Improving probability estimation trees,2000.0
176,Foster Provost,Audience selection for on-line brand advertising: privacy-friendly social network targeting,2009.0
165,Foster Provost,Scaling up: Distributed machine learning with cooperation,1996.0
157,Foster Provost,Robust classification systems for imprecise environments,1998.0
156,Foster Provost,Repeated labeling using multiple noisy labelers,2014.0
150,Foster Provost,Predictive Modeling With Big Data: Is Bigger Really Better?,2013.0
150,Foster Provost,Bid optimizing and inventory scoring in targeted online advertising,2012.0
149,Foster Provost,Aggregation-based feature invention and relational concept classes,2003.0
147,Foster Provost,Explaining data-driven document classifications,2014.0
141,Foster Provost,Machine learning for targeted display advertising: Transfer learning in action,2014.0
137,Foster Provost,"Research Commentary—Information in Digital, Economic, and Social Networks",2013.0
134,Foster Provost,The myth of the double-blind review? Author identification using only citations,2003.0
129,Foster Provost,Distribution-based aggregation for relational learning with identifier attributes,2006.0
129,Foster Provost,RL4: A tool for knowledge-based induction,1990.0
121,Foster Provost,Inductive policy: The pragmatics of bias selection,1995.0
115,Foster Provost,Discovering Interesting Patterns for Investment Decision Making with GLOWER☹—A Genetic Learner Overlaid with Entropy Reduction,2000.0
107,Foster Provost,Active feature-value acquisition,2009.0
100,Foster Provost,Mining Massive Fine-Grained Behavior Data to Improve Predictive Analytics.,2016.0
99,Foster Provost,Small disjuncts in action: learning to diagnose errors in the local loop of the telephone network,2014.0
93,Foster Provost,Scaling up inductive learning with massive parallelism,1996.0
92,Foster Provost,Causally motivated attribution for online advertising,2012.0
92,Foster Provost,Active feature-value acquisition for classifier induction,2004.0
92,Foster Provost,Automatic design of fraud detection systems,1998.0
91,Foster Provost,Confidence bands for ROC curves: Methods and an empirical study,2004.0
83,Foster Provost,"In pursuit of enhanced customer retention management: Review, key issues, and future directions",2018.0
81,Foster Provost,Why label when you can search? Alternatives to active learning for applying human resources to build classification models under extreme class imbalance,2010.0
75,Foster Provost,ROC confidence bands: An empirical evaluation,2005.0
75,Foster Provost,An intelligent assistant for the knowledge discovery process,2001.0
75,Foster Provost,Distributed data mining: Scaling up and beyond,2000.0
72,Foster Provost,Inactive learning? Difficulties employing active learning in practice,2011.0
67,Foster Provost,Beat the machine: Challenging workers to find the unknown unknowns,2011.0
67,Foster Provost,An expected utility approach to active feature-value acquisition,2005.0
67,Foster Provost,The WoRLD: Knowledge discovery from multiple distributed databases,1997.0
59,Foster Provost,"Suspicion scoring of networked entities based on guilt-by-association, collective inference, and focused data access1",2005.0
56,Foster Provost,A unified approach to active dual supervision for labeling features and examples,2010.0
52,Foster Provost,The relational vector-space model and industry classification,2003.0
51,Foster Provost,Beat the machine: Challenging humans to find a predictive model's “unknown unknowns”,2015.0
51,Foster Provost,Decision-centric active learning of binary-outcome models,2007.0
51,Foster Provost,Discovering knowledge from relational data extracted from business news,2002.0
46,Foster Provost,Exploiting Background Knowledge in Automated Discovery.,1996.0
45,Foster Provost,Scalable hands-free transfer learning for online advertising,2014.0
44,Foster Provost,"Design principles of massive, robust prediction systems",2012.0
44,Foster Provost,Social network collaborative filtering,2008.0
44,Foster Provost,Economical active feature-value acquisition through expected utility estimation,2005.0
44,Foster Provost,Intelligent information triage,2001.0
43,Foster Provost,Toward a justification of meta-learning: Is the no free lunch theorem a show-stopper,2005.0
43,Foster Provost,Distributed machine learning: scaling up with coarse-grained parallelism.,1994.0
42,Foster Provost,Finding similar mobile consumers with a privacy-friendly geosocial design,2015.0
42,Foster Provost,Managing crowdsourcing workers,2011.0
41,Foster Provost,"Evaluating and optimizing online advertising: Forget the click, but there are good proxies",2015.0
40,Foster Provost,Quality-based pricing for crowdsourced workers,2013.0
38,Foster Provost,Fraud detection,2002.0
36,Foster Provost,Pseudo-social network targeting from consumer transaction data,2011.0
35,Foster Provost,Increasing the Efficiency of Data Mining Algorithms with Breadth-First Marker Propagation.,1997.0
35,Foster Provost,Distributed fault tolerant embedding of binary trees and rings in hypercubes,1989.0
34,Foster Provost,Corporate residence fraud detection,2014.0
34,Foster Provost,Scaling Up Inductive Algorithms: An Overview.,1997.0
33,Foster Provost,Estimating the effect of online display advertising on browser conversion,2011.0
33,Foster Provost,A brief survey of machine learning methods for classification in networked data and an application to suspicion scoring,2006.0
32,Foster Provost,Enhancing transparency and control when drawing data-driven inferences about individuals,2017.0
32,Foster Provost,Inductive policy,1992.0
29,Foster Provost,Data acquisition and cost-effective predictive modeling: targeting offers for electronic commerce,2007.0
29,Foster Provost,Combining data mining and machine learning for effective fraud detection,1997.0
27,Foster Provost,Online active inference and learning,2011.0
26,Foster Provost,Learning and inference in massive social networks,2007.0
