affiliation,coauthorname,lat,lng,name
Full Professor at the University of Alabama at Birmingham,Nitesh Saxena,33.5019893,-86.8064433,Ratan Dey
Bell Labs,Abdelberi Chaabane,40.6844934,-74.401386,Ratan Dey
"Professor, Executive Director, Research Group Director Faculty of Science and Engineering Macquarie",Mohamed Ali (Dali) Kaafar,-33.7840024,151.1258387,Ratan Dey
University of Otago,Martin Purvis,-45.8646835,170.5144227,Xianbin Gu
University of Otago,Jeremiah D. Deng,-45.8646835,170.5144227,Xianbin Gu
Chinese University of Hong Kong,Andrej Bogdanov,22.419625,114.2067606,Siyao Guo
"Professor of Computer Science, IDC Herzliya",Alon Rosen,32.1758874,34.8377729,Siyao Guo
"Professor, New York University",Yevgeniy Dodis,40.72951339999999,-73.9964609,Siyao Guo
Hebrew University,Ilan Komargodski,31.7945578,35.2414009,Siyao Guo
Charles University,Pavel Hubáček,50.0871106,14.4234889,Siyao Guo
"Associate Professor of Computer Science, Columbia University",Tal Malkin,40.8075355,-73.9625727,Siyao Guo
IOHK,Sandro Coretti,40.1351015,-105.1038321,Siyao Guo
Visa Research,Daniel Masny,37.4262136,-122.1431343,Siyao Guo
Columbia University,Marshall Ball,40.8075355,-73.9625727,Siyao Guo
"Professor of Computer Science, University of Maryland",Jonathan Katz,38.9869183,-76.9425543,Siyao Guo
Purdue University,Elena Grigorescu,40.4237054,-86.92119459999999,Siyao Guo
PhD student at Purdue,Akash Kumar,40.4298628,-86.9119412,Siyao Guo
"IBM Research, Almaden",Clément L. Canonne,37.1889902,-121.8448745,Siyao Guo
"Associate Professor of Mathematics, Duquesne University",Karl Wimmer,40.4367914,-79.989232,Siyao Guo
The University of Haifa,Adi Akavia,32.7614296,35.0195184,Siyao Guo
University of Texas at Austin,Akshay D Kamath,30.2849185,-97.7340567,Siyao Guo
"Tsinghua University, Beijing",John Steinberger,39.90419989999999,116.4073963,Siyao Guo
University of Warwick,Igor Carboni Oliveira,52.3792525,-1.5614704,Siyao Guo
Stanford University,Li-Yang Tan,37.4274745,-122.169719,Siyao Guo
"Associate Professor, Department of Electrical and Computer Engineering, University of Maryland",Dana Dachman-Soled,38.9869183,-76.9425543,Siyao Guo
LIP6 / CNRS / UPMC / INRIA,Pierre Sens,48.8469772,2.3543996,Oliver Marin
URCA,Zahia Guessoum,-22.954378,-43.1675881,Oliver Marin
"Directeur de recherche CNRS, LIP6, Sorbonne Université-CNRS, Paris",Jean-Pierre Briot,48.856614,2.3522219,Oliver Marin
Universidad Técnica Federico Santa María,Xavier Bonnaire,-33.0352386,-71.5967794,Oliver Marin
"Associate Professor, Sorbone UPMC",Sébastien Monnet,48.8471036,2.357499,Oliver Marin
"Université Lyon 1, France",Nora Faci,46.227638,2.213749,Oliver Marin
Researcher and Lecturer at Universidad Diego Portales,Nicolas Hidalgo,-33.4498999,-70.6616389,Oliver Marin
Universidad Técnica Federico Santa María,Erika Rosas,-33.0352386,-71.5967794,Oliver Marin
"Researcher, FIOCRUZ",Fabricio Alves Barbosa da Silva,-22.8771869,-43.2436227,Oliver Marin
Université de Neuchâtel + HES-SO (Haute école Arc),Marcelo Pasin,46.9976485,6.9387246,Oliver Marin
"Managing director, NLnet Labs",Benno Overeinder,41.718281,-87.9788682,Oliver Marin
"Full professor Systems Engineering, Delft University of Technology",Frances Brazier,51.9962928,4.375942,Oliver Marin
Lucerne University of Applied Sciences and Arts,Pedro (A. R. S.) Costa,47.046681,8.314912,Oliver Marin
"INESC-ID, Instituto Superior Técnico, Universidade de Lisboa",Miguel Correia,38.7526578,-9.158244999999999,Oliver Marin
"Associate Professor, Sorbonne UPMC - CNRS/INRIA",Julien Sopena,48.8370198,2.1031187,Oliver Marin
Invited Assistant Professor at Ciências@ULisboa / Integrated Researcher at LASIGE,Vinicius Vielmo Cogo,38.7526578,-9.158244999999999,Oliver Marin
"LASIGE, Dep. Informática, Faculdade de Ciências, Universidade de Lisboa",Alysson Bessani,38.7526578,-9.158244999999999,Oliver Marin
"Professeur d'Informatique, Sorbonne Université",Fabrice Kordon,48.850577,2.3403019,Oliver Marin
"University of Santiago, Chile",Mauricio Marin,-35.675147,-71.542969,Oliver Marin
UNSL - CONICET,Veronica Gil-Costa,-33.2912217,-66.3388567,Oliver Marin
"Department of Computer Science, Cornell University",Robert Kleinberg,42.4534492,-76.4735027,Bruno Abrahao
Federal University of Minas Gerais - Faculty Associate at the Berkman Klein Center at Harvard,"Virgilio Almeida, professor of Compute...",-19.870682,-43.9677359,Bruno Abrahao
Syracuse University,Sucheta Soundarajan,43.0391534,-76.1351158,Bruno Abrahao
Cornell University,John Hopcroft,42.4534492,-76.4735027,Bruno Abrahao
"Professor of Computer Science, Boston University",Mark Crovella,42.3504997,-71.1053991,Bruno Abrahao
"Professor of Sociology, Stanford University",Karen Cook,37.4274745,-122.169719,Bruno Abrahao
Facebook,Paolo Parigi,37.4833355,-122.1494256,Bruno Abrahao
"Department of Computer Science, Federal University of Minas Gerais, Brazil",Jussara M. Almeida,-14.235004,-51.92528,Bruno Abrahao
"Associate Professor of Computer Science, Brown University",Rodrigo Fonseca,41.8267718,-71.4025482,Bruno Abrahao
Professor at Sapienza University of Rome,Flavio Chierichetti,41.9037626,12.5144384,Bruno Abrahao
"Computer Science - Sapienza, University of Rome",Alessandro Panconesi,41.9037626,12.5144384,Bruno Abrahao
"Professor of Computer Science, George Mason University",Daniel Menasce,38.8298118,-77.3073606,Bruno Abrahao
"Professor of Computer Science, George Mason University",Daniel Barbara,38.8298118,-77.3073606,Bruno Abrahao
"Former Junior Research Fellow in Mathematics, Oxford University",Alok Gupta,51.7548164,-1.2543668,Bruno Abrahao
Georgia Institute of Technology,Koustuv Saha,33.7756178,-84.39628499999999,Bruno Abrahao
Harvard Medical School / Beth Israel Deaconess Medical Center,John Torous,42.3396063,-71.10498199999999,Bruno Abrahao
Georgia Institute of Technology,Munmun De Choudhury,33.7756178,-84.39628499999999,Bruno Abrahao
"Senior Principal Researcher, Microsoft Research",Emre Kıcıman,40.7407266,-73.9948313,Bruno Abrahao
"Professor of Computer Science, Universidade Federal de Minas Gerais",Leonardo Barbosa e Oliveira,-19.870682,-43.9677359,Bruno Abrahao
"Associate Professor of Computer Science, Universidade Federal de Minas Gerais, Brazil",Fabrício Benevenuto,-14.235004,-51.92528,Bruno Abrahao
"Associate Professor of Computer Science, Boston University",Leonid Reyzin,42.3504997,-71.1053991,Yevgeniy Dodis
"Northeastern University, Associate Professor",Daniel Wichs,38.5543053,-121.4524539,Yevgeniy Dodis
"Professor of Computer Science, Boston University",Adam Smith,42.3504997,-71.1053991,Yevgeniy Dodis
"Professor of Computer Science, University of Maryland",Jonathan Katz,38.9869183,-76.9425543,Yevgeniy Dodis
Research Scientist Google; Adjunct Research Prof. Columbia U.,Moti Yung,40.8075355,-73.9625727,Yevgeniy Dodis
Google,Shabsi Walfish,39.1032879,-94.58859609999999,Yevgeniy Dodis
"Professor of Computer Science and Professor of Mathematics, UCLA",Rafail Ostrovsky,34.068921,-118.4451811,Yevgeniy Dodis
"Associate Professor, City College & Graduate Center of CUNY",Nelly Fazio,40.7486485,-73.98400699999999,Yevgeniy Dodis
"Professor, Cryptography, IST Austria",krzysztof pietrzak,48.309852,16.259696,Yevgeniy Dodis
IBM Research,Tal Rabin,41.2169961,-73.8072718,Yevgeniy Dodis
"Professor of Computer Science, Courant Institute, New York University",Richard Cole,40.72951339999999,-73.9964609,Yevgeniy Dodis
Columbia University,Tim Roughgarden,40.8075355,-73.9625727,Yevgeniy Dodis
"Tsinghua University, Beijing",John Steinberger,39.90419989999999,116.4073963,Yevgeniy Dodis
"Associate Professor of Computer Science, Cornell Tech",Thomas Ristenpart,40.75469710000001,-73.95638840000001,Yevgeniy Dodis
"Professor, University of Texas at San Antonio",Shouhuai Xu,29.5827351,-98.6189053,Yevgeniy Dodis
"School of Informatics, University of Edinburgh, University of Athens & IOHK",Aggelos Kiayias,37.968196,23.7786871,Yevgeniy Dodis
IOHK,Sandro Coretti,40.1351015,-105.1038321,Yevgeniy Dodis
"Research Fellow, Algorand Foundation",Shai Halevi,37.75157,-122.4056881,Yevgeniy Dodis
"Professor of Computer Science, University of Luxembourg",Jean-Sebastien Coron,49.50455299999999,5.948429,Yevgeniy Dodis
"Vicky Joseph Professor of Computer Science and Applied Mathematics, Harvard University",Salil Vadhan,42.3770029,-71.11666009999999,Yevgeniy Dodis
"Leonard J. Shustek Professor of Computer Science, Dept. of Computer Science and Engineering, NYU",Keith Ross,40.72951339999999,-73.9964609,Yong Liu
NIST,Yang Guo,39.9928814,-105.2618867,Yong Liu
"School of Electronic Information and Communications, Huazhong University of Science and Technology",Xiaojun Hei,30.5130043,114.4202756,Yong Liu
"Professor, New York University, Tandon School of Engineering",Yao Wang,40.6942036,-73.98657899999999,Yong Liu
Columbia University,Vishal Misra,40.8075355,-73.9625727,Yong Liu
"Professor of Electrical and Computer Engineering, Tandon School of Engineering, New York University",Shivendra S  Panwar,40.72951339999999,-73.9964609,Yong Liu
"Professor of Computer Science, Sun Yat-Sen University",Di Wu,23.0965384,113.298883,Yong Liu
Doordash,Hao Hu,37.7851845,-122.3953084,Yong Liu
"Tech Lead Manager, Uber Technologies Inc.",Sha Hua,39.9649692,-105.1654571,Yong Liu
Universita' di Roma Tor Vergata,Francesco Lo Presti,41.8520309,12.6289995,Yong Liu
"Professor, The University of Chinese Academy of Sciences",Baoxian Zhang (张宝贤),40.408141,116.682386,Yong Liu
"ECE Department, University of Massachusetts, Amherst",CV Hollot,42.3732216,-72.5198537,Yong Liu
"Assistant Professor of Practice, Shanghai New York University",Ratan Dey,31.225854,121.53415,Yong Liu
Polytechnic Institute of New York University,Tan Le,40.6942036,-73.98657899999999,Yong Liu
Polytechnic Institute of New York University,Ayaskant Rath,40.6942036,-73.98657899999999,Yong Liu
"Inria, Sprint, Ensim, Technicolor",Jean Bolot,35.040486,-89.9201959,Yong Liu
New York University,Yuan Ding,40.72951339999999,-73.9964609,Yong Liu
"Professor of Electrical and Computer Engineering, University of Massachusetts Amherst",Tilman Wolf,42.3867598,-72.5300515,Yong Liu
Polytechnic Institute of New York University,Chao Liang,40.6942036,-73.98657899999999,Yong Liu
SRI Sarnoff,Rakesh Kumar,40.3319301,-74.6305276,Yong Liu
NYU,Megan Coffee,40.72951339999999,-73.9964609,Anasse Bari
Columbia University; Wuhan University,Xinyue Jiang,30.5360485,114.3643219,Anasse Bari
"Chair Professor, Computer Science and Engineering, Southern University of Science and Technology",Yuhui Shi,22.593969,113.99894,Anasse Bari
New York University,Rafael M. Moraes,40.72951339999999,-73.9964609,Anasse Bari
New York University,Doruk Kilitcioglu,40.72951339999999,-73.9964609,Anasse Bari
"Professor, Peking University",Ying Tan,39.986913,116.3058739,Anasse Bari
New York University,Anasse Bari,40.72951339999999,-73.9964609,Doruk Kilitcioglu
"Professor of Politics, Center for Social Media and Politics, New York University",Joshua A. Tucker,40.72951339999999,-73.9964609,Richard Bonneau
"Professor of Politics, New York University",Jonathan Nagler,40.72951339999999,-73.9964609,Richard Bonneau
"Skirball Institute, NYU School of Medicine",Dan Littman,40.7421689,-73.97392289999999,Richard Bonneau
Cincinnati Children's Hospital,Emily R Miraldi,39.1404753,-84.50153999999999,Richard Bonneau
University of Washington,David Baker,47.65533509999999,-122.3035199,Richard Bonneau
Simons Foundation,P. Douglas Renfrew,40.7402965,-73.9910376,Richard Bonneau
"Postdoctoral Fellow, University of Texas at Austin",Kevin Drew,30.2849185,-97.7340567,Richard Bonneau
"Associate Professor, Political Science and International Relations, USC",Pablo Barberá,37.6691785,-97.3860243,Richard Bonneau
"Professor of Chemistry, New York University",Kent Kirshenbaum,40.72951339999999,-73.9964609,Richard Bonneau
Institute for Systems Biology,Leroy Hood,47.6226406,-122.3374992,Richard Bonneau
LANL,Charlie E M Strauss,35.8440582,-106.287162,Richard Bonneau
New York University School of Medicine,Jane Skok,40.742133,-73.97385109999999,Richard Bonneau
"Professor of Medicine and Microbiology, Rutgers University",Martin Blaser,40.5008186,-74.44739910000001,Richard Bonneau
"UCSD, Ludwig Institute for Cancer Research",Ramya Raviram,40.7512725,-73.9745461,Richard Bonneau
University of North Carolina,Brian Kuhlman,35.9049122,-79.0469134,Richard Bonneau
"Department of Computer Science, New York University",Noah Youngs,40.72951339999999,-73.9964609,Richard Bonneau
Fred Hutchinson Cancer Research Center,Philip Bradley,47.6272634,-122.3314858,Richard Bonneau
Seattle BioMed,Alan Aderem,47.6212774,-122.3387271,Richard Bonneau
"Postdoctoral Research Associate, New York Genome Center",Christoph Hafemeister,40.7234434,-74.0051113,Richard Bonneau
"Program Director, Translational Systems Biology and Nanobiotechnology",G Stolovitzky,40.7234434,-74.0051113,Richard Bonneau
New York University,Richard Bonneau,40.72951339999999,-73.9964609,Jane Skok
Yale University,Yuval Kluger,41.3163244,-72.92234309999999,Jane Skok
"Principal Investigator, Prof. of Biochemistry, HHMI/NYU Langone School of Med.","Danny Reinberg, Ph.D.",40.7421689,-73.97392289999999,Jane Skok
"Professor and Director, University of Pittsburgh",Harinder Singh,40.4443533,-79.960835,Jane Skok
New York University,Varun Narendra,40.72951339999999,-73.9964609,Jane Skok
New York University,Esteban O Mazzoni,40.72951339999999,-73.9964609,Jane Skok
Cincinnati Children's Hospital Medical Center,Laura B Ramsey,39.1404753,-84.50153999999999,Jane Skok
"Skirball Institute, NYU School of Medicine",Dan Littman,40.7421689,-73.97392289999999,Jane Skok
"Postdoctoral Associate, Yale University",Fabio Parisi,41.3163244,-72.92234309999999,Jane Skok
,Francesco Strino,41.3163244,-72.92234309999999,Jane Skok
"President, University of Michigan",Mark Schlissel,42.2780436,-83.7382241,Jane Skok
Babraham Institute,Anne Corcoran,52.1325209,0.205697,Jane Skok
"Chief AI Scientist at Facebook & Silver Professor at the Courant Institute, New York University",Yann LeCun,40.72951339999999,-73.9964609,Joan Bruna
Facebook AI Research,Arthur Szlam,40.72951339999999,-73.9964609,Joan Bruna
"Professeur de Mathématiques Appliquées et Informatique, École Normale Supérieure",Stephane Mallat,48.8422058,2.3451689,Joan Bruna
"Research Scientist, DeepMind. Professor of Computer Science, New York University",Rob Fergus,40.72951339999999,-73.9964609,Joan Bruna
Co-Founder of OpenAI,Wojciech Zaremba,40.72951339999999,-73.9964609,Joan Bruna
Google Research,Christian Szegedy,40.72951339999999,-73.9964609,Joan Bruna
Co-Founder and Chief Scientist of OpenAI,Ilya Sutskever,40.72951339999999,-73.9964609,Joan Bruna
"Staff Research Scientist, Google Brain",Dumitru Erhan,40.72951339999999,-73.9964609,Joan Bruna
,Ian Goodfellow,40.72951339999999,-73.9964609,Joan Bruna
Twitter / Imperial College London / University of Lugano,Michael Bronstein,51.49882220000001,-0.1748735,Joan Bruna
"Professor of Mathematics, ETH Zurich",Afonso S. Bandeira,47.37638889999999,8.547628,Joan Bruna
"Professor of Electrical Engineering, Ecole Polytechnique Fédérale de Lausanne (EPFL)",Pierre Vandergheynst,46.5190557,6.5667576,Joan Bruna
New York University,Emily Denton,40.72951339999999,-73.9964609,Joan Bruna
Research Scientist at Google DeepMind,Pablo Sprechmann,40.72951339999999,-73.9964609,Joan Bruna
New York University,Kyunghyun Cho,40.72951339999999,-73.9964609,Joan Bruna
Microsoft Research,Mikael Henaff,40.7407266,-73.9948313,Joan Bruna
"Professor of Computer Science and Mathematics, Courant Institute, NYU",Denis Zorin,40.72951339999999,-73.9964609,Joan Bruna
Johns Hopkins University,Soledad Villar,39.3299013,-76.6205177,Joan Bruna
"PhD Student, NYU",Cinjon Resnick,40.72951339999999,-73.9964609,Joan Bruna
"PhD student, Dept. of Computer Science, New York University",Sainbayar Sukhbaatar,40.72951339999999,-73.9964609,Joan Bruna
"Professor of computer science, University of Montreal, Mila, IVADO, CIFAR",Yoshua Bengio,43.6595629,-79.38979789999999,Kyunghyun Cho
Research Scientist at Deepmind and PhD from MILA,Caglar Gulcehre,43.6595629,-79.38979789999999,Kyunghyun Cho
Element AI,Dzmitry Bahdanau,45.530454,-73.61296899999999,Kyunghyun Cho
Université de Montréal,Aaron Courville,45.5056156,-73.61375919999999,Kyunghyun Cho
"Research Scientist, DeepMind",Junyoung Chung,33.6527125,-117.7478745,Kyunghyun Cho
"Principal research scientist, Apple",Tapani Raiko,36.063456,-95.880517,Kyunghyun Cho
Google,Bart van Merriënboer,39.1032879,-94.58859609999999,Kyunghyun Cho
PhD Student at UC Berkeley,Kelvin Xu,37.8718992,-122.2585399,Kyunghyun Cho
"Associate Professor, University of Le Mans",Fethi bougares,48.015377,0.1609448,Kyunghyun Cho
"Research scientist, Facebook, and professor of Computer Science",Holger Schwenk,43.4716026,-80.5454941,Kyunghyun Cho
Google AI,Orhan Firat,43.4716026,-80.5454941,Kyunghyun Cho
"Professor of Computer Science, University of Toronto",Richard Zemel,43.6628917,-79.39565640000001,Kyunghyun Cho
University of Toronto,Jimmy Ba,43.6628917,-79.39565640000001,Kyunghyun Cho
Research Scientist at Google DeepMind,Razvan Pascanu,43.6628917,-79.39565640000001,Kyunghyun Cho
New York University,Sébastien Jean,40.72951339999999,-73.9964609,Kyunghyun Cho
Aalto University,Alexander Ilin,60.1866693,24.827682,Kyunghyun Cho
University of Waterloo and UNICAMP,Rodrigo Nogueira,-22.8184393,-47.0647206,Kyunghyun Cho
"Research Scientist, Facebook AI Research",Douwe Kiela,-22.8184393,-47.0647206,Kyunghyun Cho
"PhD, Lead Data Scientist at Enlitic Inc.",Li Yao,-22.8184393,-47.0647206,Kyunghyun Cho
ByteDance,Keunwoo Choi,40.7551227,-73.98617089999999,Kyunghyun Cho
Professor of Computer Science at Yale University,A Silberschatz,41.3131189,-72.9249904,Azza Abouzied
"Darnell-Kanal Professor of Computer Science, University of Maryland College Park",Daniel J. Abadi,38.9869183,-76.9425543,Azza Abouzied
ICSI,Jay Chen,38.9783217,-76.5190719,Azza Abouzied
"University of Massachusetts, Amherst",Matteo Brucato,42.3732216,-72.5198537,Azza Abouzied
"University of Massachusetts, Amherst",Alexandra Meliou,42.3732216,-72.5198537,Azza Abouzied
"Jim Gray Professor of Computer Science, UC Berkeley",Joseph Hellerstein,37.8718992,-122.2585399,Azza Abouzied
"Research Assistant, New York University Abu Dhabi",Miro Mannino,24.5238948,54.4345558,Azza Abouzied
New York University Abu Dhabi,Maeda F. Hanafi,24.5238948,54.4345558,Azza Abouzied
"Professor of Computer Science, Yale University",Dana Angluin,41.3163244,-72.92234309999999,Azza Abouzied
Columbia University,Christos H PAPADIMITRIOU,40.8075355,-73.9625727,Azza Abouzied
"Chief Architect, IBM Watson Knowledge and Language Foundation",Laura Chiticariu,40.8075355,-73.9625727,Azza Abouzied
"Research Staff Member, IBM Research - Almaden",Yunyao Li,37.211053,-121.8069487,Azza Abouzied
"Associate Professor, Computer Science & Engineering, The Ohio State University",Arnab Nandi,40.0066723,-83.0304546,Azza Abouzied
Stony Brook University (1/1/21),Owen Rambow,40.9123761,-73.1233889,Nizar Habash
"Professor of Computer Science, George Washington University",Mona Diab,38.8997145,-77.0485992,Nizar Habash
"Institute for Human-Machine Cognition, University of Maryland",Bonnie Dorr,38.9869183,-76.9425543,Nizar Habash
Google,Ryan Roth,39.1032879,-94.58859609999999,Nizar Habash
Columbia University,Ramy Eskander,40.8075355,-73.9625727,Nizar Habash
Senior Applied Scientist at Microsoft,Ahmed El Kholy,40.8075355,-73.9625727,Nizar Habash
"Assistant Professor of Information Systems, Carnegie Mellon University in Qatar","Houda Bouamor, PhD",25.3163249,51.4401422,Nizar Habash
"Assistant Professor, Hamad Bin Khalifa University",Wajdi Zaghouani,25.3143081,51.4322784,Nizar Habash
New York University/New York University Abu Dhabi,Nasser Zalmout,24.5238948,54.4345558,Nizar Habash
"Research Assistant, New York University Abu Dhabi",Salam Khalifa,24.5238948,54.4345558,Nizar Habash
"Research Assistant, New York University Abu Dhabi",Ossama Obeid,24.5238948,54.4345558,Nizar Habash
Carnegie Mellon University in Qatar,Kemal Oflazer,25.3163249,51.4401422,Nizar Habash
"Computer Science, Columbia University",Wael Salloum,40.8075355,-73.9625727,Nizar Habash
Columbia University,Mohamed Al-Badrashiny,40.8075355,-73.9625727,Nizar Habash
"Associate Professor, Computer Science Dept., American University of Beirut",Wassim El-Hajj,33.9008359,35.480744,Nizar Habash
"Associate Professor, American University of Beirut",Hazem Hajj,33.9008359,35.480744,Nizar Habash
Assistant Professor at Université Sorbonne Paris Nord,Nadi Tomeh,48.9567846,2.3409167,Nizar Habash
"Assistant Professor, Queens College, CUNY",Alla Rozovskaya,40.7486485,-73.98400699999999,Nizar Habash
"Morgan Stanley; Affiliate Assistant Professor, University of Washington",Yuval Marton,47.65533509999999,-122.3035199,Nizar Habash
